,result
3194,B-12 I-12 I-12 I-12 I-12 B-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 O B-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O B-14 I-14 O O O O O O O B-14 I-14 O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3195,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O B-12 I-12 I-12 I-12 O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3196,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3197,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3198,O O O O B-14 I-14 O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3199,B-12 I-12 I-12 I-12 I-12 I-12 I-12 B-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O B-7 I-7 O B-7 I-7 O B-7 I-7 O B-7 I-7 O B-7 I-7 I-7 O O O O O O O O O O O O O B-14 I-14 O O O O O B-13 I-13 I-13 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O B-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O B-14 I-14 O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O B-14 O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8
3200,B-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 B-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 O B-12 I-12 I-12 I-12 I-12 B-12 I-12 I-12 I-12 B-12 I-12 I-12 I-12 I-12 I-12 O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 O O O O B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O
3201,O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O B-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O B-8 I-8 I-8 I-8 I-8 O B-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O B-13 I-13 I-13 I-13 O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3202,O O O O O O O O O O O O O O O O O O O O O O O I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 B-12 I-12 I-12 I-12 B-12 I-12 I-12 I-12 I-12 I-12 B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8
3203,B-12 I-12 I-12 I-12 I-12 B-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 O B-12 I-12 I-12 I-12 I-12 O O B-14 I-14 O O O O O O O O O O O O B-13 I-13 I-13 I-13 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-7 I-7 I-7 O B-7 I-7 I-7 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 B-12 I-12 I-12 O B-12 I-12 I-12 O O B-14 I-14 O O O O O O O B-14 I-14 O O O O O O O O O B-14 I-14 I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 I-14 I-14 O O O O O O O O O O O O B-13 I-13 I-13 I-13 O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-13 I-13 I-13 I-13 O O O O
3204,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3205,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-13 O O O O O O O O O O O O O O O O O O O I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O B-13 I-13 I-13 O B-13 I-13 I-13 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O B-12 I-12 I-12 I-12 I-12 B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8
3206,B-12 I-12 I-12 B-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 O B-12 I-12 I-12 O O O O O B-12 I-12 I-12 B-14 I-14 B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O B-12 I-12 I-12 I-12 I-12 I-12 O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 O O O O B-12 I-12 I-12 B-14 I-14 I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O B-14 I-14 I-14 I-14 O
3207,B-12 I-12 I-12 B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 B-12 I-12 I-12 O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O B-14 I-14 I-14 I-14 B-12 I-12 O O O I-14 B-12 I-12 I-12 I-12 I-12 I-9 I-9 I-9 I-9 I-9 O O O O O B-12 I-12 I-12 I-12 I-12 I-12 O O O O B-12 I-12 I-12 I-12 I-12 I-12 O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-13 I-13 I-13 I-13 O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O B-6 I-6 I-6 O O O B-7 I-7 O O O O O O O O O O O O O O O O B-9 I-9 I-9 I-9 I-9 O B-9 I-9 I-9 I-9 I-9 O B-9 I-9 O B-9 I-9 I-9 I-9 O O O B-14 I-14 O O O O O O O B-14 I-14 O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 O B-14 I-14 I-14 I-14 O B-13 I-13 I-13 I-13 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3208,O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 O O O O B-12 I-12 I-12 O B-13 I-13 O O O O B-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O B-14 I-14 I-14 I-14 O B-13 I-13 I-13 I-13 O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3209,B-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-8 O I-8 O I-8 O O O O O O O O O O O B-14 I-14 I-14 I-14 O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3210,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3211,B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 B-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 I-14 I-14 O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3212,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O B-14 I-14 O O O O O O O O O O O O O O
3213,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3214,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3215,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3216,B-12 I-12 I-12 I-12 I-12 I-12 I-12 B-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-8 I-8 I-8 I-8 I-8 O I-9 I-9 O I-9 I-9 I-9 I-9 I-9 I-9 O O O O O O O O O O O O O O O B-14 I-14 I-14 I-14 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3217,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 O B-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 O I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 O B-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3218,O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O B-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
